item_counts,distribution,g_props,phis,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,0,1
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,1,2
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,2,3
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,3,4
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,4,5
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,5,6
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,6,7
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,7,8
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,8,9
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,9,10
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,10,11
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,11,12
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,12,13
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,13,14
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,14,15
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,15,16
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,16,17
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,17,18
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,18,19
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,19,20
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,20,21
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,21,22
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,22,23
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,23,24
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,24,25
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,25,26
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,26,27
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,27,28
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,28,29
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,29,30
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,30,31
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,31,32
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,32,33
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,33,34
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,34,35
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,35,36
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,36,37
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,37,38
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,38,39
1000,Dist g,"[0.3, 0.7]",0.0,0.28677374462641136,0.7804209007628872,0.16715073080257084,1.0,0.5963941893916554,39,40
