item_counts,distribution,g_props,phis,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,0,1
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,1,2
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,2,3
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,3,4
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,4,5
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,5,6
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,6,7
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,7,8
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,8,9
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,9,10
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,10,11
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,11,12
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,12,13
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,13,14
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,14,15
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,15,16
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,16,17
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,17,18
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,18,19
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,19,20
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,20,21
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,21,22
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,22,23
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,23,24
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,24,25
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,25,26
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,26,27
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,27,28
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,28,29
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,29,30
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,30,31
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,31,32
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,32,33
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,33,34
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,34,35
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,35,36
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.7600129333426994,0.6035342155322305,0.2356666711924133,1.0,0.5264559790908043,36,37
