item_counts,distribution,g_props,phis,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.013310341500401947,0.9797344986957985,0.21256431299290607,0.04104345238095242,0.9765554207907607,0,1
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018464524879274583,0.9942200824509492,0.2130004258675589,0.07061771428571434,0.966394740107369,1,2
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018363855306104283,0.9750716652601168,0.21373302566876176,0.07611041666666674,0.9490530529028989,2,3
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.016120836310687225,0.9672506425068202,0.21363002084571533,0.07621904761904763,0.9595976380706986,3,4
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02208431247677053,0.9809089680738738,0.21386379904178562,0.1104140952380952,0.9432135144775454,4,5
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020189718114268163,0.9789383404553618,0.21256394362942266,0.08423874999999997,0.9495059032029669,5,6
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.050882855259517225,0.9122714461547864,0.21479920581502707,0.11873299999999998,0.9319620256519159,6,7
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.021615272293618693,0.9526966268150835,0.21171101953254337,0.09452589285714286,0.9391450233874086,7,8
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.028917263918175864,0.9840303372960914,0.21371814380041348,0.05532824999999997,0.9717394459586035,8,9
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.025005800962226182,0.9642101961606379,0.21299058257389913,0.11933371428571427,0.9391928049382756,9,10
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02547301450672647,0.974591885298122,0.2131809348321403,0.14210250000000002,0.9191039634741193,10,11
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018267734962890914,0.9815612519817006,0.21375798553623232,0.03278482142857142,0.982551345133026,11,12
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.025149657618464175,0.9537092573998793,0.21339492405119012,0.02828849999999994,0.9856470116311209,12,13
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01860835036173737,0.9670987260569484,0.2125216093298346,0.10148057142857142,0.9516939045912587,13,14
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.026160109188029086,0.9525338047121191,0.212565872430592,0.04904780952380955,0.9727230369186306,14,15
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018275246592961203,0.973547562388993,0.2137490360703583,0.07647749999999998,0.9548045165465222,15,16
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.016933901569877757,0.9701773437627778,0.2132187733318045,0.08686150000000004,0.9392499739771857,16,17
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020284686333520662,0.9527455049384348,0.2123044581220059,0.10691123809523811,0.9484787350667597,17,18
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.04818303975296476,0.9000517098038376,0.2166515524509568,0.08339624999999995,0.9454191123775351,18,19
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.021860779645616026,0.9330688532629289,0.2126830380461077,0.09951428571428572,0.9338424246931522,19,20
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.012251872649075143,0.9875975797629065,0.212871632178821,0.06214000000000003,0.969870910215649,20,21
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.03837570867797865,0.918521166078256,0.2159332606516144,0.05249123809523809,0.9689577790647369,21,22
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.03154392547603268,0.9281666638352288,0.21541150735430878,0.12583244047619047,0.9106520360859731,22,23
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02380096007242016,0.9733261445238721,0.21227079528536144,0.016488571428571408,0.9897574451561287,23,24
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02912934187821257,0.9231169446937542,0.21091597814467175,0.16347767857142853,0.8918527108705799,24,25
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02889473532198012,0.9696805727795988,0.2125194615845999,0.12281849999999994,0.9339648559846585,25,26
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.021294817731121504,0.9557268252220346,0.21192533991627702,0.07592175000000001,0.9570373093570668,26,27
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020632960726208655,0.9497655649685005,0.2123290256382302,0.04909752380952381,0.970025940613475,27,28
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.010551990937822579,0.9809375341821248,0.2127772676169249,0.04796949999999994,0.9790645197750965,28,29
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.030948204987350136,0.9382090570279268,0.21496213196099068,0.13240475000000002,0.9261121534337162,29,30
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01974196578293862,0.953244359123154,0.2147045883702351,0.11219824999999994,0.927060804543386,30,31
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.02720244764894792,0.984954480285898,0.21272813215998143,0.08973752380952388,0.9493482299143285,31,32
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01161533222739252,0.9956969980672283,0.21312305566447193,0.06739345238095235,0.9580454258558365,32,33
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.024880642139131184,0.9568770602835691,0.2142523351454353,0.039969714285714275,0.9844518220576562,33,34
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.023666950566188567,0.9445992232001809,0.21500510482845328,0.11341600000000002,0.9308082660445841,34,35
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.03968094271453031,0.9701367650020623,0.2142508187824598,0.08876038095238098,0.952979084760532,35,36
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018200770272565784,0.9640636783685879,0.2134515968863321,0.11122916666666666,0.923843515506825,36,37
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.04182666638003472,0.9366843799152935,0.2131536500771654,0.07393828571428573,0.9626992810933753,37,38
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.018100652536694642,0.9583007947676343,0.21356230139701735,0.06735809523809522,0.9651644517668528,38,39
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.028577896977305048,0.9521781457957066,0.2147022193623762,0.036617500000000025,0.9810655100879845,39,40
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.028475950970359806,0.9375468813264424,0.21337387653853454,0.10246190476190475,0.9361370677794268,40,41
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.020698335004326263,0.9644315209551698,0.21206268848420906,0.04491295238095239,0.9647498450763755,41,42
1000,Dist a,"[0.2, 0.3, 0.5]",0.0,0.01959394421315158,0.9354635466984632,0.2136739174464294,0.13180089285714286,0.913700005716351,42,43
