item_counts,distribution,g_props,ndkls,ers,eeds,arps,awrfs,trials,test_num
1000,Dist a,"[0.2, 0.3, 0.5]",0.022656193221324138,0.9552552811374275,0.21469820198755757,0.06606900000000004,0.9578149927561614,0,1
1000,Dist a,"[0.2, 0.3, 0.5]",0.03291102574224688,0.9468334263823934,0.21153412443910857,0.032299428571428646,0.9797888630224417,1,2
1000,Dist a,"[0.2, 0.3, 0.5]",0.01934745814747188,0.9751757780170442,0.2125346509032937,0.09724774999999997,0.9341496094386629,2,3
1000,Dist a,"[0.2, 0.3, 0.5]",0.02619337695908298,0.9522107912414317,0.21175147776472011,0.016937797619047623,0.983930677159544,3,4
1000,Dist a,"[0.2, 0.3, 0.5]",0.01647176170286866,0.9748531093165314,0.2125056671879489,0.07249774999999997,0.9508921739434141,4,5
1000,Dist a,"[0.2, 0.3, 0.5]",0.018115054934220148,0.9916903881148867,0.21322615294263217,0.011464499999999989,0.9913414351191275,5,6
1000,Dist a,"[0.2, 0.3, 0.5]",0.04200104759152966,0.9311547255634168,0.21265952516802886,0.06789464285714286,0.9455350999057905,6,7
1000,Dist a,"[0.2, 0.3, 0.5]",0.01638379918063583,0.9659457571505166,0.21390059961737493,0.022331845238095227,0.9836684633078897,7,8
1000,Dist a,"[0.2, 0.3, 0.5]",0.023234979260025122,0.9592661487747982,0.21418903861688574,0.06225386904761904,0.9554166462565853,8,9
1000,Dist a,"[0.2, 0.3, 0.5]",0.02077090329276005,0.9505849232900334,0.2122897041858054,0.03890024999999997,0.972700999452791,9,10
1000,Dist a,"[0.2, 0.3, 0.5]",0.02892843595352239,0.9689675202637601,0.21234358767298003,0.02689975,0.9794546344305982,10,11
1000,Dist a,"[0.2, 0.3, 0.5]",0.02397139146429754,0.9470787450464673,0.2150433007202039,0.06805219047619043,0.9599585600374065,11,12
1000,Dist a,"[0.2, 0.3, 0.5]",0.01781926845457569,0.9628386851335594,0.2143951229860743,0.06250774999999997,0.9642271053283316,12,13
1000,Dist a,"[0.2, 0.3, 0.5]",0.0239636394216189,0.9508655888605031,0.21396717682174737,0.04850416666666668,0.9626817405445524,13,14
1000,Dist a,"[0.2, 0.3, 0.5]",0.027902319578237807,0.9401883884664407,0.21185801253682057,0.08794017857142855,0.9384516544743762,14,15
1000,Dist a,"[0.2, 0.3, 0.5]",0.01690747562485227,0.9849537196393157,0.2127721053475497,0.06109775000000006,0.9626705693721846,15,16
1000,Dist a,"[0.2, 0.3, 0.5]",0.016038451235347206,0.9792872283051195,0.21259517986354487,0.02132725000000002,0.9846036318211356,16,17
1000,Dist a,"[0.2, 0.3, 0.5]",0.02077629157763995,0.9634844245809124,0.21271669505333815,0.059481547619047614,0.9615537705518267,17,18
1000,Dist a,"[0.2, 0.3, 0.5]",0.019395327401184628,0.9609306221785764,0.21412546693854723,0.019139619047619072,0.98826512997372,18,19
1000,Dist a,"[0.2, 0.3, 0.5]",0.014512140293813923,0.9828033876135546,0.21305282034842266,0.005830952380952381,0.9922279072322283,19,20
1000,Dist a,"[0.2, 0.3, 0.5]",0.017815017604285405,0.9946731574492863,0.21329487043543777,0.08812133333333333,0.9528963342856966,20,21
1000,Dist a,"[0.2, 0.3, 0.5]",0.01903964427999221,0.9842326525027513,0.21292195528720592,0.06662650000000003,0.9515706165031927,21,22
1000,Dist a,"[0.2, 0.3, 0.5]",0.02796782431661427,0.9400248046231107,0.21517528022320995,0.033975892857142864,0.975709130947651,22,23
1000,Dist a,"[0.2, 0.3, 0.5]",0.01651214648639706,0.9810873634463914,0.21345083692576983,0.04200100000000001,0.9770285596248701,23,24
1000,Dist a,"[0.2, 0.3, 0.5]",0.018105005583083197,0.969345558599902,0.2133196530774974,0.04422274999999998,0.9681554075033031,24,25
1000,Dist a,"[0.2, 0.3, 0.5]",0.015053358359518378,0.9606553284437336,0.2139945806998517,0.06257142857142861,0.9516130587245559,25,26
1000,Dist a,"[0.2, 0.3, 0.5]",0.018239327163530293,0.9812077131000857,0.21340486295019023,0.03499142857142856,0.9768117458448369,26,27
